LocalIP,RemoteIP,Port,TimeIndex,NumPackets,NumBytes,StartTime,EndTime,Protocol,DirAndReason 
10.1.104.180, 101.51.100.13, 3544, 0, 10, 515, 1473840840000, 1475408118000, 17, 5 
10.1.106.65, 21.220.152.64, 3544, 0, 12, 501, 1473840840000, 1476516946000, 17, 5 
10.1.104.180, 143.159.157.19, 3544, 0, 6, 367, 1473840840000, 1475016812000, 17, 5 
10.1.104.180, 106.161.159.209, 3544, 0, 8, 485, 1473840840000, 1474557370000, 17, 5 
10.1.104.180, 143.159.157.19, 3544, 0, 6, 668, 1473840840000, 1475063423000, 17, 5 
10.1.106.65, 98.190.237.29, 3544, 0, 7, 530, 1473840840000, 1475517925000, 17, 5 
10.1.104.180, 255.106.6.17, 3544, 0, 10, 507, 1473840840000, 1474894398000, 17, 5 
10.1.106.65, 21.220.152.64, 3544, 0, 2, 348, 1473840840000, 1474524701000, 17, 5 
10.1.104.180, 9.54.218.196, 3544, 0, 7, 144, 1473840840000, 1475024435000, 17, 5 
10.1.106.65, 152.201.219.184, 3544, 0, 5, 654, 1473840840000, 1474939011000, 17, 5 
10.1.106.65, 152.201.219.184, 3544, 0, 7, 527, 1473840840000, 1474276022000, 17, 5 
10.1.104.180, 184.173.94.41, 3544, 0, 7, 571, 1473840840000, 1474873722000, 17, 5 
10.1.106.65, 15.103.216.95, 3544, 0, 4, 546, 1473840840000, 1475380278000, 17, 5 
10.1.104.180, 225.152.84.26, 3544, 0, 9, 564, 1473840840000, 1476029255000, 17, 5 
10.1.104.180, 224.0.0.253, 3544, 0, 9, 445, 1473840840000, 1475062130000, 17, 5 
10.1.104.180, 191.137.15.235, 3544, 0, 10, 426, 1473840840000, 1475488988000, 17, 5 
10.1.104.180, 180.220.209.12, 3544, 0, 6, 505, 1473840840000, 1475295060000, 17, 5 
10.1.106.65, 8.173.23.113, 3544, 0, 6, 436, 1473840840000, 1474571484000, 17, 5 
10.1.106.65, 8.173.23.113, 3544, 0, 15, 746, 1473840840000, 1474816741000, 17, 5 
10.1.104.180, 180.220.209.12, 3544, 0, 9, 554, 1473840840000, 1475318711000, 17, 5 
10.1.106.65, 124.10.240.32, 3544, 0, 9, 476, 1473840840000, 1475870812000, 17, 5 
10.1.106.65, 8.173.23.113, 3544, 0, 7, 564, 1473840840000, 1475555980000, 17, 5 
10.1.106.65, 45.106.116.155, 3544, 0, 6, 274, 1473840840000, 1475745287000, 17, 5 
10.1.104.180, 154.172.196.30, 3544, 0, 7, 553, 1473840840000, 1476453952000, 17, 5 
10.1.104.180, 109.180.144.140, 3544, 0, 9, 496, 1473840840000, 1474767483000, 17, 5 
10.1.106.65, 45.106.116.155, 3544, 0, 12, 97, 1473840840000, 1475589073000, 17, 5 
10.1.104.180, 225.152.84.26, 3544, 0, 10, 640, 1473840840000, 1475342910000, 17, 5 
10.1.104.180, 225.152.84.26, 3544, 0, 10, 256, 1473840840000, 1475970524000, 17, 5 
10.1.106.65, 8.173.23.113, 3544, 0, 6, 165, 1473840840000, 1474743317000, 17, 5 
10.1.104.180, 191.137.15.235, 3544, 0, 10, 366, 1473840840000, 1475641587000, 17, 5 
10.1.106.65, 157.244.251.71, 3544, 0, 4, 531, 1473840840000, 1475707245000, 17, 5 
10.1.106.65, 157.244.251.71, 3544, 0, 8, 418, 1473840840000, 1475283527000, 17, 5 
10.1.106.65, 220.87.255.189, 3544, 0, 4, 478, 1473840840000, 1475165569000, 17, 5 
10.1.106.65, 220.87.255.189, 3544, 0, 5, 595, 1473840840000, 1474829916000, 17, 5 
10.1.106.65, 8.173.23.113, 3544, 0, 4, 606, 1473840840000, 1474740531000, 17, 5 
10.1.106.65, 157.244.251.71, 3544, 0, 7, 549, 1473840840000, 1475609019000, 17, 5 
10.1.104.180, 13.69.55.57, 3544, 0, 4, 544, 1473840840000, 1475561121000, 17, 5 
10.1.104.180, 216.225.216.96, 3544, 0, 11, 518, 1473840840000, 1475861547000, 17, 5 
10.1.106.65, 124.10.240.32, 3544, 0, 5, 290, 1473840840000, 1475217131000, 17, 5 
10.1.106.65, 124.10.240.32, 3544, 0, 7, 540, 1473840840000, 1475938541000, 17, 5 
10.1.104.180, 197.199.55.48, 3544, 0, 8, 331, 1473840840000, 1475370629000, 17, 5 
10.1.104.180, 180.220.209.12, 3544, 0, 6, 604, 1473840840000, 1474197701000, 17, 5 
10.1.106.65, 220.87.255.189, 3544, 0, 8, 262, 1473840840000, 1476458662000, 17, 5 
10.1.106.65, 143.174.50.249, 3544, 0, 8, 364, 1473840840000, 1475214262000, 17, 5 
10.1.106.65, 124.10.240.32, 3544, 0, 3, 499, 1473840840000, 1475509482000, 17, 5 
10.1.104.180, 13.69.55.57, 3544, 0, 7, 594, 1473840840000, 1476058937000, 17, 5 
10.1.104.180, 106.161.159.209, 3544, 0, 4, 451, 1473840840000, 1475993694000, 17, 5 
10.1.104.180, 106.161.159.209, 3544, 0, 4, 536, 1473840840000, 1475885588000, 17, 5 
10.1.106.65, 152.201.219.184, 3544, 0, 9, 387, 1473840840000, 1475735358000, 17, 5 
10.1.104.180, 164.14.54.251, 3544, 0, 6, 473, 1473840840000, 1475204867000, 17, 5 
10.1.106.65, 198.248.130.177, 3544, 0, 8, 281, 1473840840000, 1474395304000, 17, 5 
10.1.106.65, 152.201.219.184, 3544, 0, 7, 468, 1473840840000, 1475081126000, 17, 5 
10.1.104.180, 9.54.218.196, 3544, 0, 7, 509, 1473840840000, 1474660109000, 17, 5 
10.1.104.180, 26.243.187.248, 3544, 0, 5, 451, 1473840840000, 1475860860000, 17, 5 
10.1.104.180, 26.243.187.248, 3544, 0, 10, 738, 1473840840000, 1477285676000, 17, 5 
10.1.104.180, 26.243.187.248, 3544, 0, 7, 700, 1473840840000, 1475171072000, 17, 5 
10.1.104.180, 109.180.144.140, 3544, 0, 5, 489, 1473840840000, 1475201415000, 17, 5 
10.1.104.180, 164.14.54.251, 3544, 0, 11, 574, 1473840840000, 1475315116000, 17, 5 
10.1.106.65, 157.244.251.71, 3544, 0, 7, 305, 1473840840000, 1475126303000, 17, 5 
10.1.104.180, 26.243.187.248, 3544, 0, 4, 782, 1473840840000, 1475349055000, 17, 5 
10.1.106.65, 230.125.31.38, 3544, 0, 7, 408, 1473840840000, 1474649845000, 17, 5 
10.1.104.180, 154.172.196.30, 3544, 0, 7, 578, 1473840840000, 1474774874000, 17, 5 
10.1.106.65, 56.166.125.73, 3544, 0, 4, 600, 1473840840000, 1475427271000, 17, 5 
10.1.106.65, 230.125.31.38, 3544, 0, 12, 433, 1473840840000, 1475308322000, 17, 5 
10.1.104.180, 154.172.196.30, 3544, 0, 7, 173, 1473840840000, 1474442129000, 17, 5 
10.1.104.180, 154.172.196.30, 3544, 0, 8, 655, 1473840840000, 1476083451000, 17, 5 
10.1.104.180, 9.54.218.196, 3544, 0, 5, 197, 1473840840000, 1475172373000, 17, 5 
10.1.106.65, 230.125.31.38, 3544, 0, 7, 790, 1473840840000, 1475460884000, 17, 5 
10.1.104.180, 154.172.196.30, 3544, 0, 6, 464, 1473840840000, 1475073222000, 17, 5 
10.1.106.65, 230.125.31.38, 3544, 0, 7, 301, 1473840840000, 1475247379000, 17, 5 
10.1.106.65, 230.125.31.38, 3544, 0, 10, 502, 1473840840000, 1476132137000, 17, 5 
10.1.104.180, 225.152.84.26, 3544, 0, 9, 250, 1473840840000, 1475287171000, 17, 5 
10.1.104.180, 216.225.216.96, 3544, 0, 9, 670, 1473840840000, 1476596300000, 17, 5 
10.1.104.180, 154.172.196.30, 3544, 0, 8, 625, 1473840840000, 1475119840000, 17, 5 
10.1.104.180, 225.152.84.26, 3544, 0, 6, 460, 1473840840000, 1475810865000, 17, 5 
10.1.106.65, 45.106.116.155, 3544, 0, 5, 853, 1473840840000, 1476082690000, 17, 5 
10.1.106.65, 8.173.23.113, 3544, 0, 4, 691, 1473840840000, 1475645907000, 17, 5 
10.1.106.65, 157.244.251.71, 3544, 0, 9, 324, 1473840840000, 1475714040000, 17, 5 
10.1.104.180, 49.208.251.193, 3544, 0, 9, 345, 1473840840000, 1474981867000, 17, 5 
10.1.106.65, 125.125.30.194, 3544, 0, 12, 589, 1473840840000, 1475269159000, 17, 5 
10.1.104.180, 248.45.208.63, 3544, 0, 6, 663, 1473840840000, 1475453207000, 17, 5 
10.1.104.180, 155.25.122.69, 3544, 0, 8, 522, 1473840840000, 1476014268000, 17, 5 
10.1.104.180, 248.45.208.63, 3544, 0, 9, 327, 1473840840000, 1475397891000, 17, 5 
10.1.104.180, 248.45.208.63, 3544, 0, 5, 206, 1473840840000, 1475497205000, 17, 5 
10.1.106.65, 100.125.35.113, 3544, 0, 7, 338, 1473840840000, 1475551155000, 17, 5 
10.1.106.65, 224.0.0.253, 3544, 0, 12, 446, 1473840840000, 1475573236000, 17, 5 
10.1.106.65, 125.125.30.194, 3544, 0, 7, 432, 1473840840000, 1475302003000, 17, 5 
10.1.106.65, 111.130.28.101, 3544, 0, 8, 686, 1473840840000, 1475576985000, 17, 5 
10.1.106.65, 125.125.30.194, 3544, 0, 7, 421, 1473840840000, 1475803232000, 17, 5 
10.1.106.65, 100.125.35.113, 3544, 0, 7, 485, 1473840840000, 1474566997000, 17, 5 
10.1.104.180, 155.25.122.69, 3544, 0, 5, 331, 1473840840000, 1475393198000, 17, 5 
10.1.106.65, 125.125.30.194, 3544, 0, 5, 395, 1473840840000, 1475704893000, 17, 5 
10.1.104.180, 75.43.129.23, 3544, 0, 6, 583, 1473840840000, 1475331508000, 17, 5 
10.1.106.65, 100.125.35.113, 3544, 0, 5, 205, 1473840840000, 1475063910000, 17, 5 
10.1.104.180, 63.122.197.118, 3544, 0, 8, 589, 1473840840000, 1474560441000, 17, 5 
10.1.106.65, 100.125.35.113, 3544, 0, 7, 240, 1473840840000, 1475255851000, 17, 5 
10.1.106.65, 28.26.192.142, 3544, 0, 3, 265, 1473840840000, 1474984558000, 17, 5 
10.1.104.180, 248.45.208.63, 3544, 0, 10, 338, 1473840840000, 1475570764000, 17, 5 
10.1.106.65, 28.26.192.142, 3544, 0, 3, 191, 1473840840000, 1476063688000, 17, 5 
10.1.104.180, 10.133.167.53, 3544, 0, 8, 397, 1473840840000, 1474997944000, 17, 5 
10.1.106.65, 111.130.28.101, 3544, 0, 6, 434, 1473840840000, 1475615588000, 17, 5 
10.1.104.180, 188.8.62.52, 3544, 0, 9, 676, 1473840840000, 1476391646000, 17, 5 
10.1.104.180, 8.180.239.18, 3544, 0, 5, 926, 1473840840000, 1474718009000, 17, 5 
10.1.106.65, 28.26.192.142, 3544, 0, 11, 605, 1473840840000, 1476301025000, 17, 5 
10.1.104.180, 10.133.167.53, 3544, 0, 11, 897, 1473840840000, 1476053490000, 17, 5 
10.1.106.65, 28.26.192.142, 3544, 0, 1, 566, 1473840840000, 1474839806000, 17, 5 
10.1.104.180, 10.133.167.53, 3544, 0, 10, 450, 1473840840000, 1475575224000, 17, 5 
10.1.104.180, 155.25.122.69, 3544, 0, 7, 759, 1473840840000, 1475818485000, 17, 5 
10.1.106.65, 224.0.0.253, 3544, 0, 10, 339, 1473840840000, 1475412977000, 17, 5 
10.1.104.180, 8.180.239.18, 3544, 0, 4, 258, 1473840840000, 1475032454000, 17, 5 
10.1.104.180, 8.180.239.18, 3544, 0, 5, 262, 1473840840000, 1475083941000, 17, 5 
10.1.104.180, 63.122.197.118, 3544, 0, 13, 296, 1473840840000, 1476691853000, 17, 5 
10.1.104.180, 150.0.102.74, 3544, 0, 5, 512, 1473840840000, 1475819907000, 17, 5 
10.1.106.65, 176.223.146.205, 3544, 0, 9, 392, 1473840840000, 1476205588000, 17, 5 
10.1.106.65, 176.223.146.205, 3544, 0, 5, 393, 1473840840000, 1475150715000, 17, 5 
10.1.104.180, 150.0.102.74, 3544, 0, 8, 437, 1473840840000, 1475012025000, 17, 5 
10.1.106.65, 176.223.146.205, 3544, 0, 6, 488, 1473840840000, 1475754709000, 17, 5 
10.1.104.180, 10.10.41.39, 3544, 0, 4, 163, 1473840840000, 1476059566000, 17, 5 
10.1.104.180, 10.10.41.39, 3544, 0, 7, 326, 1473840840000, 1475665806000, 17, 5 
10.1.104.180, 10.10.41.39, 3544, 0, 8, 332, 1473840840000, 1474976731000, 17, 5 
10.1.104.180, 75.43.129.23, 3544, 0, 6, 444, 1473840840000, 1475845336000, 17, 5 
10.1.104.180, 19.71.178.220, 3544, 0, 8, 414, 1473840840000, 1475764167000, 17, 5 
10.1.104.180, 75.43.129.23, 3544, 0, 4, 534, 1473840840000, 1475981067000, 17, 5 
10.1.106.65, 56.166.125.73, 3544, 0, 9, 437, 1473840840000, 1475574685000, 17, 5 
10.1.106.65, 224.0.0.253, 3544, 0, 7, 459, 1473840840000, 1475415309000, 17, 5 
10.1.104.180, 75.43.129.23, 3544, 0, 8, 630, 1473840840000, 1475467097000, 17, 5 
10.1.104.180, 75.43.129.23, 3544, 0, 6, 469, 1473840840000, 1475660071000, 17, 5 
10.1.104.180, 49.208.251.193, 3544, 0, 9, 572, 1473840840000, 1475092754000, 17, 5 
10.1.104.180, 10.10.41.39, 3544, 0, 9, 396, 1473840840000, 1476273217000, 17, 5 
10.1.104.180, 10.10.41.39, 3544, 0, 6, 593, 1473840840000, 1475701719000, 17, 5 
10.1.106.65, 161.42.50.50, 3544, 0, 9, 762, 1473840840000, 1475196805000, 17, 5 
10.1.104.180, 63.122.197.118, 3544, 0, 6, 444, 1473840840000, 1474881208000, 17, 5 
10.1.106.65, 224.0.0.253, 3544, 0, 5, 537, 1473840840000, 1475483482000, 17, 5 
10.1.104.180, 155.25.122.69, 3544, 0, 7, 686, 1473840840000, 1476195103000, 17, 5 
10.1.104.180, 10.133.167.53, 3544, 0, 2, 655, 1473840840000, 1475903227000, 17, 5 
10.1.104.180, 75.43.129.23, 3544, 0, 7, 703, 1473840840000, 1475294173000, 17, 5 
10.1.106.65, 56.166.125.73, 3544, 0, 6, 268, 1473840840000, 1475113212000, 17, 5 
10.1.106.65, 176.223.146.205, 3544, 0, 2, 681, 1473840840000, 1475128084000, 17, 5 
10.1.104.180, 155.25.122.69, 3544, 0, 8, 727, 1473840840000, 1475848246000, 17, 5 
10.1.106.65, 125.125.30.194, 3544, 0, 5, 407, 1473840840000, 1475108482000, 17, 5 
10.1.104.180, 75.43.129.23, 3544, 0, 8, 462, 1473840840000, 1475294477000, 17, 5 
10.1.106.65, 100.125.35.113, 3544, 0, 7, 566, 1473840840000, 1475314825000, 17, 5 
10.1.104.180, 155.25.122.69, 3544, 0, 7, 493, 1473840840000, 1475936935000, 17, 5 
10.1.104.180, 81.112.182.41, 3544, 0, 6, 910, 1473840840000, 1475832886000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 8, 557, 1473840840000, 1474867850000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 9, 387, 1473840840000, 1475276457000, 17, 5 
10.1.106.65, 12.187.144.98, 3544, 0, 6, 210, 1473840840000, 1476341229000, 17, 5 
10.1.104.180, 93.186.69.213, 3544, 0, 9, 113, 1473840840000, 1475457989000, 17, 5 
10.1.104.180, 116.242.195.151, 3544, 0, 11, 428, 1473840840000, 1475937445000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 3, 254, 1473840840000, 1475484639000, 17, 5 
10.1.104.180, 141.181.143.217, 3544, 0, 1, 215, 1473840840000, 1476598267000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 5, 390, 1473840840000, 1475033906000, 17, 5 
10.1.104.180, 141.181.143.217, 3544, 0, 9, 601, 1473840840000, 1475154054000, 17, 5 
10.1.104.180, 32.47.231.203, 3544, 0, 8, 837, 1473840840000, 1475295422000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 7, 844, 1473840840000, 1475951779000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 3, 507, 1473840840000, 1475117556000, 17, 5 
10.1.104.180, 81.112.182.41, 3544, 0, 11, 368, 1473840840000, 1475076035000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 5, 682, 1473840840000, 1476261796000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 9, 777, 1473840840000, 1476104718000, 17, 5 
10.1.106.65, 249.10.41.173, 3544, 0, 2, 566, 1473840840000, 1475743637000, 17, 5 
10.1.106.65, 227.20.149.95, 3544, 0, 7, 327, 1473840840000, 1474505661000, 17, 5 
10.1.104.180, 116.242.195.151, 3544, 0, 11, 553, 1473840840000, 1475557728000, 17, 5 
10.1.104.180, 116.242.195.151, 3544, 0, 6, 564, 1473840840000, 1475729505000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 7, 560, 1473840840000, 1475435475000, 17, 5 
10.1.104.180, 116.242.195.151, 3544, 0, 8, 418, 1473840840000, 1474846766000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 10, 515, 1473840840000, 1476159874000, 17, 5 
10.1.104.180, 93.186.69.213, 3544, 0, 12, 285, 1473840840000, 1475613965000, 17, 5 
10.1.104.180, 141.181.143.217, 3544, 0, 6, 275, 1473840840000, 1475681280000, 17, 5 
10.1.106.65, 227.20.149.95, 3544, 0, 3, 647, 1473840840000, 1475953365000, 17, 5 
10.1.106.65, 12.187.144.98, 3544, 0, 4, 0, 1473840840000, 1475679419000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 5, 466, 1473840840000, 1475299087000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 4, 242, 1473840840000, 1476463781000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 8, 135, 1473840840000, 1475217516000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 3, 568, 1473840840000, 1474910014000, 17, 5 
10.1.104.180, 101.51.100.13, 3544, 0, 10, 409, 1473840840000, 1475265426000, 17, 5 
10.1.106.65, 12.187.144.98, 3544, 0, 4, 391, 1473840840000, 1475314185000, 17, 5 
10.1.106.65, 56.166.125.73, 3544, 0, 5, 608, 1473840840000, 1474267552000, 17, 5 
10.1.104.180, 75.43.129.23, 3544, 0, 8, 561, 1473840840000, 1475158239000, 17, 5 
10.1.106.65, 111.130.28.101, 3544, 0, 8, 420, 1473840840000, 1475794620000, 17, 5 
10.1.106.65, 111.130.28.101, 3544, 0, 11, 701, 1473840840000, 1475817813000, 17, 5 
10.1.104.180, 49.208.251.193, 3544, 0, 6, 520, 1473840840000, 1475699592000, 17, 5 
10.1.106.65, 111.130.28.101, 3544, 0, 8, 416, 1473840840000, 1475736911000, 17, 5 
10.1.104.180, 188.8.62.52, 3544, 0, 12, 241, 1473840840000, 1475064958000, 17, 5 
10.1.104.180, 188.8.62.52, 3544, 0, 5, 505, 1473840840000, 1475684814000, 17, 5 
10.1.104.180, 10.133.167.53, 3544, 0, 9, 479, 1473840840000, 1475364280000, 17, 5 
10.1.106.65, 198.205.241.195, 3544, 0, 7, 544, 1473840840000, 1475261834000, 17, 5 
10.1.104.180, 8.180.239.18, 3544, 0, 4, 603, 1473840840000, 1475988744000, 17, 5 
10.1.104.180, 81.112.182.41, 3544, 0, 6, 473, 1473840840000, 1474820846000, 17, 5 
10.1.106.65, 227.20.149.95, 3544, 0, 9, 279, 1473840840000, 1475624611000, 17, 5 
10.1.106.65, 198.205.241.195, 3544, 0, 2, 449, 1473840840000, 1474628933000, 17, 5 
10.1.106.65, 111.130.28.101, 3544, 0, 7, 103, 1473840840000, 1475280116000, 17, 5 
10.1.106.65, 224.0.0.253, 3544, 0, 2, 369, 1473840840000, 1475524871000, 17, 5 
10.1.106.65, 8.173.23.113, 3544, 0, 6, 458, 1473840840000, 1475644028000, 17, 5 
10.1.104.180, 141.181.143.217, 3544, 0, 8, 256, 1473840840000, 1475835801000, 17, 5 
10.1.104.180, 81.112.182.41, 3544, 0, 9, 523, 1473840840000, 1475025394000, 17, 5 
10.1.106.65, 56.166.125.73, 3544, 0, 6, 732, 1473840840000, 1475459744000, 17, 5 
10.1.106.65, 111.130.28.101, 3544, 0, 5, 464, 1473840840000, 1476038404000, 17, 5 
10.1.106.65, 198.205.241.195, 3544, 0, 7, 492, 1473840840000, 1475489144000, 17, 5 
10.1.104.180, 81.112.182.41, 3544, 0, 3, 463, 1473840840000, 1475135853000, 17, 5 
10.1.106.65, 198.205.241.195, 3544, 0, 9, 506, 1473840840000, 1476532569000, 17, 5 
10.1.106.65, 198.205.241.195, 3544, 0, 8, 423, 1473840840000, 1474580300000, 17, 5 
10.1.104.180, 213.189.202.149, 3544, 0, 4, 467, 1473840840000, 1476490113000, 17, 5 
10.1.104.180, 143.159.157.19, 3544, 0, 2, 401, 1473840840000, 1475787206000, 17, 5 
10.1.104.180, 93.186.69.213, 3544, 0, 12, 417, 1473840840000, 1474692261000, 17, 5 
10.1.104.180, 81.112.182.41, 3544, 0, 6, 138, 1473840840000, 1475177074000, 17, 5 
10.1.104.180, 81.112.182.41, 3544, 0, 13, 296, 1473840840000, 1475570455000, 17, 5 
10.1.104.180, 141.181.143.217, 3544, 0, 4, 444, 1473840840000, 1474985652000, 17, 5 
10.1.106.65, 227.20.149.95, 3544, 0, 8, 282, 1473840840000, 1475213923000, 17, 5 
10.1.106.65, 78.6.34.42, 3544, 0, 8, 183, 1473840840000, 1476040645000, 17, 5 
10.1.106.65, 78.6.34.42, 3544, 0, 8, 731, 1473840840000, 1475268506000, 17, 5 
10.1.106.65, 218.134.57.102, 3544, 0, 10, 308, 1473840840000, 1475303757000, 17, 5 
10.1.104.180, 80.142.225.164, 3544, 0, 3, 582, 1473840840000, 1474370325000, 17, 5 
10.1.104.180, 154.62.216.12, 3544, 0, 9, 503, 1473840840000, 1475344137000, 17, 5 
10.1.106.65, 218.134.57.102, 3544, 0, 5, 450, 1473840840000, 1475907342000, 17, 5 
10.1.104.180, 80.142.225.164, 3544, 0, 7, 127, 1473840840000, 1475371549000, 17, 5 
10.1.104.180, 255.230.114.245, 3544, 0, 7, 631, 1473840840000, 1476304443000, 17, 5 
10.1.106.65, 154.214.70.111, 3544, 0, 7, 586, 1473840840000, 1475397062000, 17, 5 
10.1.106.65, 78.6.34.42, 3544, 0, 4, 738, 1473840840000, 1476050508000, 17, 5 
10.1.106.65, 78.6.34.42, 3544, 0, 4, 486, 1473840840000, 1476132821000, 17, 5 
10.1.106.65, 154.214.70.111, 3544, 0, 7, 511, 1473840840000, 1475645833000, 17, 5 
